PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1990,79.1,79.25,79.21,79.2,79.25,79.26,79.3,79.31,79.26,79.27,79.17,79.2,79.23
PS,1991,79.24,79.2,79.21,79.22,79.27,79.29,79.3,79.31,79.25,79.2,79.16,79.13,79.23
PS,1992,79.15,79.19,79.16,79.17,79.19,79.2,79.3,79.33,79.2,79.21,79.16,79.15,79.2
PS,1993,79.23,79.19,79.22,79.18,79.23,79.25,79.28,79.29,79.27,79.25,79.21,79.17,79.23
PS,1994,79.19,79.19,79.23,79.23,79.26,79.28,79.26,79.29,79.26,79.22,79.22,79.18,79.23
PS,1995,79.21,79.28,79.23,79.18,79.28,79.3,79.26,79.29,79.32,79.23,79.22,79.24,79.25
PS,1996,79.18,79.17,79.22,79.21,79.31,79.3,79.34,79.31,79.23,79.22,79.14,79.13,79.23
PS,1997,79.26,79.14,79.19,79.22,79.22,79.24,79.24,79.26,79.25,79.23,79.24,79.17,79.22
PS,1998,79.13,79.26,79.18,79.24,79.34,79.34,79.34,79.33,79.33,79.28,79.21,79.24,79.27
PS,1999,79.19,79.22,79.15,79.22,79.3,79.3,79.31,79.31,79.27,79.28,79.2,79.21,79.25
PS,2000,79.19,79.25,79.17,79.23,79.27,79.3,79.25,79.26,79.26,79.23,79.16,79.2,79.23
PS,2001,79.24,79.12,79.22,79.24,79.28,79.27,79.3,79.29,79.28,79.23,79.23,79.14,79.24
PS,2002,79.24,79.22,79.22,79.21,79.25,79.31,79.33,79.25,79.27,79.19,79.23,79.24,79.25
PS,2003,79.24,79.18,79.21,79.25,79.26,79.3,79.3,79.33,79.3,79.24,79.2,79.21,79.25
PS,2004,79.25,79.26,79.16,79.26,79.29,79.3,79.3,79.31,79.29,79.25,79.2,79.21,79.26
PS,2005,79.22,79.16,79.3,79.24,79.27,79.28,79.33,79.3,79.29,79.28,79.21,79.21,79.26
PS,2006,79.18,79.19,79.21,79.22,79.29,79.29,79.31,79.26,79.29,79.24,79.18,79.26,79.24
PS,2007,79.19,79.26,79.18,79.28,79.29,79.29,79.32,79.28,79.29,79.24,79.15,79.23,79.25
PS,2008,79.17,79.26,79.24,79.19,79.27,79.28,79.32,79.27,79.29,79.29,79.22,79.22,79.25
PS,2009,79.25,79.17,79.18,79.26,79.28,79.3,79.27,79.26,79.26,79.2,79.15,79.2,79.23
PS,2010,79.16,79.16,79.22,79.27,79.3,79.38,79.35,79.33,79.3,79.27,79.21,79.14,79.26
PS,2011,79.13,79.19,79.21,79.24,79.24,79.29,79.26,79.29,79.33,79.24,79.21,79.18,79.23
PS,2012,79.21,79.18,79.16,79.27,79.25,79.3,79.24,79.31,79.31,79.25,79.22,79.18,79.24
PS,2013,79.21,79.18,79.24,79.26,79.33,79.28,79.3,79.28,79.27,79.25,79.18,79.2,79.25
PS,2014,79.19,79.16,79.24,79.23,79.3,79.27,79.31,79.31,79.28,79.26,79.23,79.21,79.25
PS,2015,79.22,79.24,79.25,79.22,79.27,79.27,79.3,79.25,79.25,79.28,79.18,79.19,79.24
PS,2016,79.28,79.19,79.33,79.29,79.36,79.39,79.34,79.31,79.35,79.24,79.22,79.23,79.29
PS,2017,79.25,79.28,79.28,79.26,79.34,79.32,79.35,79.32,79.32,79.24,79.2,79.21,79.28
PS,2018,79.19,79.22,79.18,79.3,79.31,79.33,79.3,79.32,79.23,79.27,79.22,79.25,79.26
PS,2019,79.24,79.24,79.26,79.3,79.3,79.33,79.32,79.34,79.34,79.26,79.2,79.21,79.28
PS,2020,79.27,79.27,79.29,79.33,79.34,79.33,79.29,79.29,79.29,79.25,79.25,79.2,79.28
PS,2021,79.16,79.18,79.21,79.22,79.31,79.35,79.34,79.35,79.34,79.28,79.24,79.2,79.27
PS,2022,79.24,79.2,79.22,79.23,79.32,79.3,79.31,79.3,79.31,79.28,79.25,79.2,79.26
TS,1990,16.31,16.47,17.01,17.3,16.51,16.63,16.34,17.01,17.82,16.4,16.58,16.21,16.72
TS,1991,17.11,17.76,17.71,17.5,17.4,17.34,16.83,17.16,17.63,17.13,17.01,17.06,17.3
TS,1992,17.58,17.92,18.78,17.94,17.33,17.22,16.68,17.33,17.44,17.63,16.83,16.67,17.44
TS,1993,16.97,17.38,17.2,17.24,17.01,16.8,16.58,17.44,17.28,17.2,16.37,16.56,17.0
TS,1994,16.26,16.71,16.79,16.87,16.92,16.2,16.33,16.8,17.58,16.83,16.67,17.07,16.76
TS,1995,17.72,18.12,17.73,17.76,17.04,16.7,16.84,17.41,17.7,16.75,16.51,16.48,17.23
TS,1996,16.55,16.52,16.89,17.03,16.66,16.29,16.17,16.76,17.43,16.8,16.69,16.94,16.73
TS,1997,15.87,17.12,17.64,17.5,17.21,16.41,17.27,17.62,17.83,17.62,16.7,17.92,17.23
TS,1998,19.14,19.55,19.04,18.44,17.6,16.83,16.55,16.91,16.66,16.84,16.12,15.84,17.44
TS,1999,15.59,15.83,16.24,16.44,15.85,15.59,15.67,15.7,15.69,15.65,15.95,15.73,15.83
TS,2000,15.4,16.1,16.21,16.28,16.23,15.89,15.51,16.39,16.46,16.67,16.25,16.61,16.16
TS,2001,16.52,17.33,17.06,17.67,17.57,17.09,17.51,18.61,18.08,19.05,17.46,17.29,17.61
TS,2002,17.41,18.35,18.48,17.55,17.57,16.86,17.77,18.49,18.73,18.06,16.82,17.01,17.76
TS,2003,18.09,18.26,17.91,17.74,17.44,16.93,17.73,18.14,18.08,17.53,16.91,16.97,17.64
TS,2004,17.34,18.01,18.71,17.9,17.28,16.98,16.81,18.16,17.81,17.3,16.33,16.38,17.42
TS,2005,17.04,17.91,17.87,18.0,17.05,17.43,17.92,18.27,18.41,17.44,16.66,15.91,17.49
TS,2006,16.45,17.69,17.2,16.93,17.0,16.67,16.91,18.08,17.96,17.7,16.39,16.75,17.14
TS,2007,17.96,17.96,17.83,17.48,17.35,16.97,17.69,17.46,17.85,16.58,16.68,15.98,17.31
TS,2008,16.61,16.19,16.19,16.58,16.23,16.12,15.64,16.21,16.57,16.37,16.24,15.85,16.23
TS,2009,15.89,16.73,16.78,16.63,16.77,16.48,17.43,18.0,18.76,18.2,17.91,17.57,17.26
TS,2010,18.86,19.48,19.31,18.1,17.66,16.7,16.48,16.78,16.81,16.69,15.58,15.78,17.34
